date,follower,likes,video_view,article_view
2022-08-07,1886,34081,729161,78059
2022-08-06,1871,34010,727468,78023
2022-08-05,1857,33896,725074,77987
2022-08-04,1832,33720,724775,77948
2022-08-03,1830,33710,724589,77908
2022-08-02,1830,33699,724316,77876
2022-08-01,1827,33685,723984,77836
2022-07-31,1826,33671,723497,77796
2022-07-30,1819,33625,723148,77762
2022-07-29,1817,33617,722880,77721
2022-07-28,1818,33611,722567,77693
2022-07-27,1818,33601,722153,77664
2022-07-26,1816,33588,721742,77630
2022-07-25,1815,33582,721193,77586
2022-07-24,1814,33566,720876,77529
2022-07-23,1812,33560,720569,77477
2022-07-22,1811,33547,720294,77429
2022-07-21,1811,33540,720031,77391
2022-07-20,1809,33535,719817,77351
2022-07-19,1810,33531,719576,77248
2022-07-18,1808,33521,719309,77093
2022-07-17,1806,33505,718991,76934
2022-07-16,1805,33499,718686,76777
2022-07-15,1806,33486,718408,76666
2022-07-14,1804,33478,718137,76536
2022-07-13,1801,33469,717868,76366
2022-07-12,1798,33454,717545,76100
2022-07-11,1797,33438,717148,75834
2022-07-10,1795,33421,716786,75413
2022-07-09,1793,33399,716413,74939
2022-07-08,1793,33376,716030,74519
2022-07-07,1793,33362,715684,73870
2022-07-06,1792,33345,715363,73490
2022-07-05,1791,33329,714868,73326
2022-07-04,1785,33315,714132,73138
2022-07-03,1784,33293,713169,72865
2022-07-02,1780,33257,712516,72636
2022-07-01,1778,33237,711949,72445
2022-06-30,1778,33213,711351,72271
2022-06-29,1777,33203,710621,72088
2022-06-28,1776,33178,709782,71885
2022-06-27,1773,33150,709275,71672
2022-06-26,1771,33131,708665,71402
2022-06-25,1768,33107,708004,71064
2022-06-24,1766,33073,706935,70354
2022-06-23,1763,33037,705755,68225
2022-06-22,1756,32963,705196,64460
2022-06-21,1743,32877,704807,63107
2022-06-20,1737,32823,704603,63084
2022-06-19,1734,32816,704401,63052
2022-06-18,1734,32814,704189,63025
2022-06-17,1733,32808,704044,62998
2022-06-16,1734,32799,703726,62970
2022-06-15,1737,32774,703409,62938
2022-06-14,1738,32761,703124,62910
2022-06-13,1739,32749,702773,62875
2022-06-12,1738,32732,702404,62840
2022-06-11,1736,32712,702096,62816
2022-06-10,1736,32695,701792,62800
2022-06-09,1736,32682,701549,62761
2022-06-08,1737,32677,701080,62734
2022-06-07,1736,32646,700605,62711
2022-06-06,1734,32613,700431,62683
